Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,1,0,6,1.04,0.000%,1.68342,4.51,0.18,2744.0
TOTAL,100,1,0,6,1.04,0.000%,1.68342,4.51,0.18,2744.0
