Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10000,2,0,172,8.90,0.000%,167.32201,448.37,18.14,2744.0
TOTAL,10000,2,0,172,8.90,0.000%,167.32201,448.37,18.14,2744.0
